id,category,requirement,description,priority,module,phase,source,status,gap
TM-01,Ticket Management,Multi-tenant data isolation,"Hard isolation per client at the data layer, not row-level filtering.",Must Have,accounts-and-administration,1 Foundations,Workbook,Built,
TM-02,Ticket Management,Ticket types with distinct workflows,"Incident, Service Request, Change, Problem, Project Task. Each with its own workflow and billing treatment.",Must Have,ticket-management,2 Focused pilot,Workbook,Built,
TM-03,Ticket Management,Configurable state machine,States and transitions aligned to the existing DMS ticket lifecycle procedure. Configurable per ticket type.,Must Have,ticket-management,2 Focused pilot,Workbook,Built,
TM-04,Ticket Management,Priority / impact matrix,"Standard impact x urgency matrix producing priority, with per-client override capability.",Must Have,ticket-management,2 Focused pilot,Workbook,Built,
TM-05,Ticket Management,SLA engine,"Response and resolution targets per ticket type, priority and client contract.",Must Have,ticket-management,2 Focused pilot,Workbook,Built,
TM-06,Ticket Management,Per-client business calendars and timezones,"Required for UK, Brazil, Australia, Canada and US coverage. SLA clocks must respect local working hours and holidays.",Must Have,accounts-and-administration,3 Operational replacement,Workbook,Built,
TM-07,Ticket Management,SLA clock pause with reason logging,Pause on 'Awaiting Client' / 'Awaiting Third Party'. Pause reason and duration stored - this is the evidence used in hour-justification discussions.,Must Have,ticket-management,2 Focused pilot,Workbook,Built,
TM-08,Ticket Management,Assignment groups,"Groups mapped to CSM, OneStream Technical and Infrastructure teams. Support for group-level and individual assignment.",Must Have,accounts-and-administration,1 Foundations,Workbook,Built,
TM-09,Ticket Management,Parent / child and related ticket linking,"Link types: parent-child, related, duplicate, blocks/blocked-by.",Must Have,ticket-management,2 Focused pilot,Workbook,Built,
TM-10,Ticket Management,Grouping under project or change window,Ability to group a ticket tree under a project or scheduled window (e.g. one tree per Azure Files cutover weekend).,Must Have,ticket-management,3 Operational replacement,Workbook,Built,
TM-11,Ticket Management,Ability to flag out-of-scope / over-budget work,Configurable flag with client-side visibility. Ticket blocked from progressing until approved.,Must Have,ticket-management,3 Operational replacement,Workbook,Built,
TM-12,Ticket Management,Immutable audit trail,"Every field change recorded with user, timestamp, old value, new value. Non-editable, non-deletable.",Must Have,ticket-management,1 Foundations,Workbook,Built,
TM-13,Ticket Management,Public comments vs internal work notes,Two distinct objects. Internal notes must never be exposed through the portal or ServiceNow public sync.,Must Have,ticket-management,2 Focused pilot,Workbook,Built,
TM-14,Ticket Management,Attachments with virus scanning,"Size limits, allowed file types, AV scan on upload, quarantine on detection.",Must Have,ticket-management,1 Foundations,Workbook,Built,
TM-15,Ticket Management,Full-text search and saved filters,"Search across ticket fields, comments and attachments metadata. User-defined saved views.",Must Have,ticket-management,2 Focused pilot,Workbook,Built,
TM-16,Ticket Management,Bulk actions,"Bulk reassign, bulk state change, bulk tag - with audit entries per affected record.",Nice to Have,ticket-management,4 Later releases,Workbook,Built,
TM-17,Ticket Management,Ticket templates,Pre-filled templates for recurring request types to reduce intake time.,Nice to Have,knowledge-base,4 Later releases,Workbook,Partial,Schema only; one reference in the backend and no authoring or apply surface
TM-18,Ticket Management,Change calendar with conflict detection,Visual change calendar with freeze windows and overlap warnings across clients.,Nice to Have,ticket-management,4 Later releases,Workbook,Built,
TM-19,Ticket Management,CMDB / lightweight asset register,"Per-client configuration item register, linkable to tickets.",Nice to Have,knowledge-base,4 Later releases,Workbook,Built,
TM-21,Ticket Management,Ticket participant record,"People appear on a ticket in roles other than assignee, with joined and left timestamps and who invited them; contributor count is queryable.",Unassessed,ticket-management,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
TM-22,Ticket Management,Invite a collaborator without transferring ownership,"A named person or skill group is invited, accepts or declines, is notified, and the assignee is unchanged throughout.",Unassessed,ticket-management,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
TM-23,Ticket Management,Account ownership and team construct,Every account has exactly one named primary owner; changing it is audited; teams group accounts and people; ownership drives default routing and report authorship.,Unassessed,accounts-and-administration,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
TM-24,Ticket Management,Ranked work queue with stall weighting,"The landing queue orders by a server-computed score over client priority, severity, breach proximity, shift context and, weighted at least as heavily, time since last movement, age against expected duration for that ticket type, and time since last client contact. An administrator changes a weight and the order changes.",Unassessed,ticket-management,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
TM-25,Ticket Management,Default active-work view,"Resolved, closed and transferred tickets are absent from the default view and require a deliberate action to reach.",Unassessed,ticket-management,0 Unscoped (revision 3 intake),Functional RTM r3,Built,
TM-26,Ticket Management,Ticket-to-outcome association with coverage measure,"A ticket can be attached to and detached from an outcome, and the outcome lists it. Linkage coverage, the share of tickets and of delivered hours carrying an outcome, is reportable per account, per engineer and per period, and accounts below a configured coverage floor surface to the account owner and the support director.",Unassessed,ticket-management,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
TM-27,Ticket Management,Container-case detection,"A ticket crossing the configured time-entry, elapsed-day or effort threshold raises TM-11 and notifies the account owner.",Unassessed,ticket-management,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
TM-28,Ticket Management,Shift handover,"At the close of a coverage window the outgoing owner produces a handover for the incoming one covering open work, items at risk of breach, commitments made to clients, and anything awaiting a third party. The incoming owner acknowledges it. Unacknowledged handovers are visible to the technical manager. Drafted by Axel (AI-25) and editable before it is passed; retained and searchable against the ticket.",Unassessed,ticket-management,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
